
File Name : file1.txt, Process ID : 34729
Character :a , count: 5 
Character :b , count: 3 
Character :c , count: 0 
Character :d , count: 4 
Character :e , count: 15 
Character :f , count: 3 
Character :g , count: 2 
Character :h , count: 5 
Character :i , count: 8 
Character :j , count: 0 
Character :k , count: 0 
Character :l , count: 6 
Character :m , count: 3 
Character :n , count: 7 
Character :o , count: 9 
Character :p , count: 3 
Character :q , count: 0 
Character :r , count: 6 
Character :s , count: 16 
Character :t , count: 14 
Character :u , count: 4 
Character :v , count: 2 
Character :w , count: 4 
Character :x , count: 0 
Character :y , count: 2 
Character :z , count: 0 

File Name : file2.txt, Process ID : 34730
Character :a , count: 20 
Character :b , count: 7 
Character :c , count: 8 
Character :d , count: 12 
Character :e , count: 32 
Character :f , count: 1 
Character :g , count: 5 
Character :h , count: 8 
Character :i , count: 20 
Character :j , count: 0 
Character :k , count: 0 
Character :l , count: 10 
Character :m , count: 7 
Character :n , count: 17 
Character :o , count: 19 
Character :p , count: 12 
Character :q , count: 0 
Character :r , count: 18 
Character :s , count: 21 
Character :t , count: 29 
Character :u , count: 5 
Character :v , count: 5 
Character :w , count: 5 
Character :x , count: 1 
Character :y , count: 4 
Character :z , count: 0 

File Name : file3.pdf, Process ID : 34731
Character :a , count: 12 
Character :b , count: 1 
Character :c , count: 11 
Character :d , count: 5 
Character :e , count: 25 
Character :f , count: 0 
Character :g , count: 5 
Character :h , count: 7 
Character :i , count: 12 
Character :j , count: 0 
Character :k , count: 2 
Character :l , count: 9 
Character :m , count: 7 
Character :n , count: 15 
Character :o , count: 22 
Character :p , count: 6 
Character :q , count: 0 
Character :r , count: 11 
Character :s , count: 20 
Character :t , count: 21 
Character :u , count: 4 
Character :v , count: 0 
Character :w , count: 6 
Character :x , count: 0 
Character :y , count: 5 
Character :z , count: 0 

File Name : file4.docx, Process ID : 34732
Character :a , count: 18 
Character :b , count: 2 
Character :c , count: 12 
Character :d , count: 8 
Character :e , count: 43 
Character :f , count: 4 
Character :g , count: 4 
Character :h , count: 18 
Character :i , count: 20 
Character :j , count: 2 
Character :k , count: 7 
Character :l , count: 7 
Character :m , count: 8 
Character :n , count: 20 
Character :o , count: 27 
Character :p , count: 8 
Character :q , count: 0 
Character :r , count: 27 
Character :s , count: 25 
Character :t , count: 35 
Character :u , count: 10 
Character :v , count: 2 
Character :w , count: 5 
Character :x , count: 4 
Character :y , count: 1 
Character :z , count: 0 

File Name : file5.xml, Process ID : 34733
Character :a , count: 3 
Character :b , count: 2 
Character :c , count: 0 
Character :d , count: 7 
Character :e , count: 12 
Character :f , count: 3 
Character :g , count: 3 
Character :h , count: 3 
Character :i , count: 5 
Character :j , count: 1 
Character :k , count: 1 
Character :l , count: 0 
Character :m , count: 4 
Character :n , count: 8 
Character :o , count: 11 
Character :p , count: 0 
Character :q , count: 0 
Character :r , count: 5 
Character :s , count: 1 
Character :t , count: 8 
Character :u , count: 0 
Character :v , count: 1 
Character :w , count: 1 
Character :x , count: 0 
Character :y , count: 2 
Character :z , count: 0 

File Name : file6.html, Process ID : 34734
Character :a , count: 4 
Character :b , count: 2 
Character :c , count: 2 
Character :d , count: 4 
Character :e , count: 2 
Character :f , count: 2 
Character :g , count: 2 
Character :h , count: 7 
Character :i , count: 3 
Character :j , count: 0 
Character :k , count: 0 
Character :l , count: 3 
Character :m , count: 5 
Character :n , count: 1 
Character :o , count: 3 
Character :p , count: 5 
Character :q , count: 0 
Character :r , count: 4 
Character :s , count: 2 
Character :t , count: 6 
Character :u , count: 0 
Character :v , count: 0 
Character :w , count: 0 
Character :x , count: 0 
Character :y , count: 5 
Character :z , count: 0 

File Name : file7.txt, Process ID : 34735
Character :a , count: 1397 
Character :b , count: 222 
Character :c , count: 652 
Character :d , count: 764 
Character :e , count: 2545 
Character :f , count: 485 
Character :g , count: 300 
Character :h , count: 510 
Character :i , count: 1338 
Character :j , count: 27 
Character :k , count: 89 
Character :l , count: 687 
Character :m , count: 657 
Character :n , count: 1305 
Character :o , count: 1237 
Character :p , count: 471 
Character :q , count: 52 
Character :r , count: 1072 
Character :s , count: 1453 
Character :t , count: 1763 
Character :u , count: 474 
Character :v , count: 234 
Character :w , count: 287 
Character :x , count: 132 
Character :y , count: 168 
Character :z , count: 25 
